respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
17545,1040,10,4,8,7,10,3,96,96,96
17546,1040,7,4,3,2,7,2,96,96,96
17547,1040,8,5,7,3,7,98,96,96,96
17559,1040,7,7,3,1,10,1,96,96,96
17566,1040,7,2,5,0,10,0,96,96,96
17567,1040,8,4,6,2,10,2,96,96,96
17574,1040,8,5,6,3,10,3,96,96,96
17587,1040,7,3,5,0,10,2,96,96,96
17589,1040,8,0,0,0,8,0,96,96,96
17591,1040,9,1,5,2,10,0,96,96,96
17594,1040,10,0,7,2,3,3,96,96,96
17599,1040,8,2,6,3,10,3,96,96,96
17601,1040,6,4,5,0,10,2,96,96,96
17602,1040,6,3,7,1,10,1,96,96,96
17611,1040,7,1,4,1,10,4,96,96,96
17630,1040,7,3,4,2,8,3,96,96,96
17641,1040,7,3,2,5,10,5,96,96,96
17642,1040,7,0,5,0,7,0,96,96,96
17646,1040,7,3,5,3,10,2,96,96,96
17665,1040,10,3,5,2,10,1,96,96,96
17672,1040,6,3,5,4,8,3,96,96,96
17676,1040,9,4,4,1,10,1,96,96,96
17683,1040,10,0,5,0,10,0,96,96,96
17686,1040,98,98,98,98,98,98,96,96,96
17693,1040,6,3,5,0,10,2,96,96,96
17701,1040,0,1,2,2,1,0,96,96,96
17705,1040,7,5,7,4,10,3,96,96,96
17706,1040,0,0,0,98,98,98,96,96,96
17710,1040,1,8,3,2,6,2,96,96,96
17713,1040,4,8,5,5,10,98,96,96,96
17719,1040,7,4,6,3,7,3,96,96,96
17721,1040,6,0,4,5,10,6,96,96,96
17722,1040,7,1,7,0,10,0,96,96,96
17725,1040,9,2,4,0,10,1,96,96,96
17726,1040,6,4,4,3,10,4,96,96,96
17731,1040,7,5,6,6,3,4,96,96,96
17735,1040,9,1,6,4,10,5,96,96,96
17742,1040,8,4,4,0,9,0,96,96,96
17749,1040,7,4,6,3,6,2,96,96,96
17751,1040,4,7,5,6,5,6,96,96,96
17770,1040,8,3,5,2,10,1,96,96,96
17771,1040,98,98,98,98,98,98,96,96,96
17772,1040,7,4,4,3,9,1,96,96,96
17774,1040,98,98,2,2,98,98,96,96,96
17785,1040,10,3,5,2,5,0,96,96,96
17786,1040,7,3,5,0,9,3,96,96,96
17791,1040,6,1,6,1,7,1,96,96,96
